縣市/地區,房屋稅籍住宅類數量B,住宅平均屋齡Y,1（含）年以下B,1（含）年以下B比例,1~5（含）年B,1~5（含）年B比例,5~10（含）年B,5~10（含）年B比例,10~15（含）年B,10~15（含）年B比例,15~20（含）年B,15~20（含）年B比例,20~25（含）年B,20~25（含）年B比例,25~30（含）年B,25~30（含）年B比例,30~40（含）年B,30~40（含）年B比例,40~50（含）年B,40~50（含）年B比例,50年以上B,50年以上B比例
全國,8706384,29,171969,1.98%,408919,4.70%,448755,5.15%,649905,7.46%,627546,7.21%,1522132,17.48%,776872,8.92%,2117648,24.32%,1288042,14.79%,694596,7.98%
新北市(原台北縣),1612283,27,36624,2.27%,68671,4.26%,107537,6.67%,112904,7.00%,142019,8.81%,312232,19.37%,131265,8.14%,389933,24.19%,258147,16.01%,52951,3.28%
台北市,897927,33,8822,0.98%,21632,2.41%,45022,5.01%,50112,5.58%,42353,4.72%,65013,7.24%,53941,6.01%,311402,34.68%,233928,26.05%,65702,7.32%
台中市,1030050,26,24137,2.34%,60288,5.85%,54073,5.25%,85919,8.34%,79772,7.74%,231371,22.46%,121720,11.82%,217611,21.13%,100840,9.79%,54319,5.27%
台南市,692088,31,16543,2.39%,30171,4.36%,27470,3.97%,47488,6.86%,45042,6.51%,123864,17.90%,76101,11.00%,171772,24.82%,77304,11.17%,76333,11.03%
高雄市,1060951,29,18953,1.79%,44516,4.20%,44934,4.24%,91775,8.65%,69433,6.54%,182446,17.20%,95521,9.00%,275105,25.93%,160878,15.16%,77390,7.29%
宜蘭縣,188523,30,4205,2.23%,11433,6.06%,10333,5.48%,10856,5.76%,9083,4.82%,34714,18.41%,13038,6.92%,45822,24.31%,28885,15.32%,20154,10.69%
桃園市,837475,24,20956,2.50%,66691,7.96%,50545,6.04%,102516,12.24%,83265,9.94%,174393,20.82%,70681,8.44%,164921,19.69%,78527,9.38%,24980,2.98%
新竹縣,207110,25,7241,3.50%,19797,9.56%,21696,10.48%,28555,13.79%,13682,6.61%,31172,15.05%,17531,8.46%,31451,15.19%,16820,8.12%,19165,9.25%
苗栗縣,199154,32,5182,2.60%,12381,6.22%,9766,4.90%,12934,6.49%,11485,5.77%,28376,14.25%,15316,7.69%,45665,22.93%,26846,13.48%,31203,15.67%
彰化縣,399664,33,6385,1.60%,13088,3.27%,12125,3.03%,18417,4.61%,24042,6.02%,66327,16.60%,42964,10.75%,101368,25.36%,59083,14.78%,55865,13.98%
南投縣,165968,34,2636,1.59%,5571,3.36%,5694,3.43%,10116,6.10%,14992,9.03%,24307,14.65%,15810,9.53%,38383,23.13%,22172,13.36%,26287,15.84%
雲林縣,238170,36,3007,1.26%,7482,3.14%,7292,3.06%,10757,4.52%,14408,6.05%,35423,14.87%,17689,7.43%,55739,23.40%,36673,15.40%,49700,20.87%
嘉義縣,171696,35,1846,1.08%,4846,2.82%,4864,2.83%,8689,5.06%,8745,5.09%,22642,13.19%,12556,7.31%,43988,25.62%,33725,19.64%,29795,17.35%
屏東縣,286719,33,3882,1.35%,10403,3.63%,9958,3.47%,15842,5.53%,15049,5.25%,46784,16.32%,27875,9.72%,70308,24.52%,46234,16.13%,40384,14.08%
台東縣,86430,34,1236,1.43%,3026,3.50%,3781,4.37%,3955,4.58%,4209,4.87%,13286,15.37%,5377,6.22%,19945,23.08%,19407,22.45%,12208,14.12%
花蓮縣,129560,33,1421,1.10%,3517,2.71%,3774,2.91%,6745,5.21%,8318,6.42%,19960,15.41%,10399,8.03%,34716,26.80%,23494,18.13%,17216,13.29%
澎湖縣,32640,40,654,2.00%,1159,3.55%,1134,3.47%,1906,5.84%,1913,5.86%,3287,10.07%,1895,5.81%,7595,23.27%,4771,14.62%,8326,25.51%
基隆市,165570,29,2483,1.50%,4562,2.76%,5391,3.26%,4896,2.96%,12607,7.61%,50010,30.20%,15214,9.19%,39313,23.74%,20640,12.47%,10454,6.31%
新竹市,172734,25,3113,1.80%,12708,7.36%,17478,10.12%,14789,8.56%,19011,11.01%,32187,18.63%,16408,9.50%,30481,17.65%,18483,10.70%,8076,4.68%
嘉義市,106735,31,1148,1.08%,3019,2.83%,3368,3.16%,9240,8.66%,5615,5.26%,21941,20.56%,14454,13.54%,18689,17.51%,18224,17.07%,11037,10.34%
金門縣,22000,26,1456,6.62%,3536,16.07%,2281,10.37%,1233,5.60%,2364,10.75%,2343,10.65%,1038,4.72%,3113,14.15%,1782,8.10%,2854,12.97%
連江縣,2937,32,39,1.33%,422,14.37%,239,8.14%,261,8.89%,139,4.73%,54,1.84%,79,2.69%,328,11.17%,1179,40.14%,197,6.71%
